storage_service-1  | WARNING:root:Duplicate bet_id found: 1ZRZWRLCGX. Skipping this bet.
storage_service-1  | WARNING:root:Duplicate bet_id found: 1ZRZWRKZWN. Skipping this bet.
storage_service-1  | WARNING:root:Duplicate bet_id found: 1ZRZAF9B68. Skipping this bet.
storage_service-1  | WARNING:root:Duplicate bet_id found: 1ZRZAE6JUB. Skipping this bet.
storage_service-1  | WARNING:root:Duplicate bet_id found: 1ZRZAE4W7X. Skipping this bet.
storage_service-1  | WARNING:root:Duplicate bet_id found: 1ZRN21G87M. Skipping this bet.
storage_service-1  | WARNING:root:Duplicate bet_id found: 1ZRMM8MSW4. Skipping this bet.
storage_service-1  | WARNING:root:Duplicate bet_id found: 1ZRMM3ZHD0. Skipping this bet.
storage_service-1  | WARNING:root:Duplicate bet_id found: N/A. Skipping this bet.
storage_service-1  | WARNING:root:Duplicate bet_id found: 1ZRL702EGZ. Skipping this bet.
storage_service-1  | WARNING:root:Duplicate bet_id found: 1ZRL700RMB. Skipping this bet.
storage_service-1  | WARNING:root:Duplicate bet_id found: 1ZRL6XNC9W. Skipping this bet.
storage_service-1  | WARNING:root:Duplicate bet_id found: 1ZRL6T9XBK. Skipping this bet.
storage_service-1  | WARNING:root:Duplicate bet_id found: 1ZRC0L24RG. Skipping this bet.
storage_service-1  | WARNING:root:Duplicate bet_id found: 1ZRC05J74G. Skipping this bet.
storage_service-1  | WARNING:root:Duplicate bet_id found: 1ZRC05J74G. Skipping this bet.
storage_service-1  | WARNING:root:Duplicate bet_id found: 1ZRA0ABCD. Skipping this bet.
storage_service-1  | WARNING:root:Duplicate bet_id found: 1ZR948E37C. Skipping this bet.
storage_service-1  | WARNING:root:Duplicate bet_id found: 1ZR92E457L. Skipping this bet.
storage_service-1  | WARNING:root:Duplicate bet_id found: 1ZR92E457L. Skipping this bet.
storage_service-1  | WARNING:root:Duplicate bet_id found: 1ZRbefg678hijk. Skipping this bet.
storage_service-1  | WARNING:root:Duplicate bet_id found: 1ZRhijklmnopqrs. Skipping this bet.
storage_service-1  | WARNING:root:Duplicate bet_id found: 1ZRstuvwxyzab. Skipping this bet.
storage_service-1  | WARNING:root:Duplicate bet_id found: 1ZR23CPHXB. Skipping this bet.
storage_service-1  | WARNING:root:Duplicate bet_id found: 1ZR1ZG4J9Y. Skipping this bet.
